4	127.0.0.1	29-05-2021 12:06:00	0
4	127.0.0.1	29-05-2021 12:06:44	1
5	127.0.0.1	29-05-2021 13:47:38	1
4	127.0.0.1	29-05-2021 13:50:02	1
5	127.0.0.1	29-05-2021 13:50:08	1
5	127.0.0.1	29-05-2021 13:52:05	1
5	127.0.0.1	29-05-2021 13:57:27	1
4	127.0.0.1	29-05-2021 13:59:44	1
5	127.0.0.1	29-05-2021 13:59:59	1
4	127.0.0.1	29-05-2021 14:03:05	1
5	127.0.0.1	29-05-2021 14:03:16	1
4	127.0.0.1	29-05-2021 16:38:20	1
4	127.0.0.1	29-05-2021 16:38:30	0
4	127.0.0.1	29-05-2021 16:38:32	0
4	127.0.0.1	29-05-2021 16:38:33	0
4	127.0.0.1	29-05-2021 16:39:41	0
4	127.0.0.1	29-05-2021 16:39:58	1
4	127.0.0.1	30-05-2021 23:48:31	1
4	127.0.0.1	31-05-2021 00:27:07	1
1	127.0.0.1	31-05-2021 00:43:15	1
4	127.0.0.1	31-05-2021 00:44:23	1
1	127.0.0.1	31-05-2021 00:48:12	1
4	127.0.0.1	31-05-2021 00:48:26	1
4	127.0.0.1	31-05-2021 00:51:55	1
4	127.0.0.1	31-05-2021 00:53:44	0
4	127.0.0.1	31-05-2021 01:00:05	1
4	127.0.0.1	31-05-2021 12:36:10	1
4	192.168.0.12	31-05-2021 13:21:34	1
1	127.0.0.1	31-05-2021 14:29:59	1
5	127.0.0.1	31-05-2021 14:32:33	1
4	127.0.0.1	31-05-2021 14:32:49	1
4	127.0.0.1	31-05-2021 15:22:51	1
1	127.0.0.1	31-05-2021 15:56:45	1
5	127.0.0.1	31-05-2021 16:01:23	1
4	127.0.0.1	31-05-2021 16:03:35	1
5	127.0.0.1	31-05-2021 16:06:00	1
4	127.0.0.1	31-05-2021 16:26:07	1
4	127.0.0.1	31-05-2021 16:27:44	0
4	127.0.0.1	31-05-2021 16:27:48	0
4	127.0.0.1	31-05-2021 16:27:55	0
4	127.0.0.1	31-05-2021 16:28:14	0
4	127.0.0.1	31-05-2021 16:28:39	1
4	127.0.0.1	31-05-2021 18:17:40	1
4	127.0.0.1	31-05-2021 18:20:33	1
4	127.0.0.1	31-05-2021 18:24:56	1
4	127.0.0.1	31-05-2021 20:39:21	1
5	127.0.0.1	31-05-2021 20:39:32	1
5	127.0.0.1	31-05-2021 22:00:21	1
4	127.0.0.1	01-06-2021 15:42:45	1
5	127.0.0.1	01-06-2021 15:45:43	1
5	127.0.0.1	01-06-2021 17:07:05	1
4	127.0.0.1	01-06-2021 17:25:39	1
5	127.0.0.1	01-06-2021 17:25:51	1
1	127.0.0.1	01-06-2021 17:53:38	1
5	127.0.0.1	01-06-2021 17:53:43	1
5	127.0.0.1	01-06-2021 21:27:37	1
5	127.0.0.1	01-06-2021 22:26:07	1
5	127.0.0.1	02-06-2021 02:33:23	1
5	127.0.0.1	02-06-2021 10:49:48	1
4	127.0.0.1	02-06-2021 10:57:45	1
5	127.0.0.1	02-06-2021 10:57:57	1
5	127.0.0.1	02-06-2021 10:58:28	1
1	127.0.0.1	02-06-2021 11:54:06	1
5	127.0.0.1	02-06-2021 11:54:47	1
5	127.0.0.1	02-06-2021 13:04:48	1
3	127.0.0.1	02-06-2021 13:09:46	1
5	127.0.0.1	02-06-2021 13:10:34	1
5	127.0.0.1	02-06-2021 21:01:50	1
6	127.0.0.1	02-06-2021 22:11:59	1
6	127.0.0.1	02-06-2021 22:12:55	1
7	127.0.0.1	02-06-2021 22:13:09	1
5	127.0.0.1	02-06-2021 22:13:20	1
5	127.0.0.1	02-06-2021 23:02:54	1
5	127.0.0.1	03-06-2021 12:19:38	1
5	127.0.0.1	03-06-2021 12:23:57	1
1	127.0.0.1	03-06-2021 13:13:15	0
5	127.0.0.1	03-06-2021 13:13:19	1
1	127.0.0.1	03-06-2021 13:13:43	0
1	127.0.0.1	03-06-2021 13:13:46	1
5	127.0.0.1	03-06-2021 13:13:52	1
4	127.0.0.1	04-06-2021 13:35:46	1
